OrderID,DishID,Quantity
75,1,2
216,2,2
225,3,1
273,4,2
429,5,1
463,6,3
108,7,3
114,8,1
134,9,1
145,7,2
372,10,2
392,11,3
395,11,2
453,10,3
51,12,3
62,13,1
98,14,1
150,14,2
192,15,3
207,16,1
208,14,1
5,17,3
81,17,2
99,18,1
125,17,3
346,19,1
354,20,3
402,21,3
447,21,2
454,22,3
70,23,1
157,24,2
253,25,3
255,26,1
333,27,2
334,28,2
389,29,2
148,30,2
374,31,2
477,32,2
488,32,2
73,33,1
190,34,3
277,35,1
424,36,3
165,6,2
295,3,1
306,6,2
483,37,1
343,9,3
362,38,1
12,13,1
271,39,1
312,12,1
428,16,1
480,39,2
191,40,2
344,41,1
370,42,3
17,43,1
29,44,3
132,45,2
19,46,3
163,31,3
212,47,2
252,48,3
332,49,1
345,50,3
137,33,3
147,51,2
175,52,1
217,53,3
244,36,3
256,51,2
278,54,1
299,36,2
331,54,2
400,55,3
385,56,2
259,57,3
353,58,3
378,9,2
404,9,3
23,15,2
77,59,3
421,60,2
9,18,2
352,61,1
365,62,2
419,40,3
53,63,3
270,24,1
88,31,1
348,64,2
411,47,1
484,64,1
487,65,3
115,54,3
230,54,3
366,55,3
8,56,1
27,2,3
314,1,1
54,66,1
435,11,1
97,67,2
142,68,2
202,39,1
211,69,1
298,70,2
382,69,1
387,39,3
399,60,1
57,17,3
78,20,1
90,21,3
102,17,1
151,40,1
158,61,2
367,71,3
209,25,1
361,72,2
493,73,3
116,32,1
199,31,2
257,74,1
274,31,3
280,49,1
290,74,2
443,65,3
11,51,3
61,75,1
76,76,2
140,53,1
233,34,3
262,54,2
267,77,1
474,54,3
149,4,2
184,5,2
198,78,3
215,5,1
223,79,1
307,37,3
219,80,2
350,58,3
425,80,2
431,81,3
461,82,1
286,83,2
336,12,2
360,68,2
96,84,1
458,19,2
58,25,2
79,44,3
205,29,1
44,85,2
327,65,1
423,74,3
66,36,2
359,53,3
248,86,3
269,37,3
398,87,3
408,78,3
468,56,3
48,8,2
371,81,3
87,16,2
156,14,1
171,60,3
218,15,2
118,88,2
276,84,3
450,21,1
476,22,1
35,23,3
105,29,2
228,29,2
251,72,3
426,43,3
56,64,1
93,50,2
394,48,1
407,89,2
496,65,2
1,77,3
45,35,1
231,90,3
3,3,1
21,1,1
52,91,1
422,56,1
94,81,3
393,57,2
401,66,1
432,58,1
30,59,1
41,15,2
104,59,2
130,68,2
226,14,2
328,13,2
358,60,2
187,41,1
224,17,1
247,84,2
322,40,1
403,19,2
49,73,3
63,45,1
112,44,2
162,29,2
485,63,2
71,48,2
103,30,2
111,85,3
384,92,2
466,92,1
83,55,2
264,90,1
133,4,3
283,1,3
342,78,3
409,37,3
189,9,1
357,66,2
410,93,2
153,14,3
310,94,3
340,83,2
396,39,1
479,69,3
492,14,2
136,22,1
287,40,3
302,19,1
303,84,1
319,20,1
25,45,3
55,95,1
221,73,2
236,73,1
465,72,1
475,27,2
117,49,3
179,50,1
144,34,1
146,36,2
176,33,2
239,75,3
254,52,1
308,96,1
457,33,2
186,1,1
234,97,2
436,87,2
444,2,3
470,86,2
500,79,1
131,98,1
172,7,3
210,80,2
337,66,3
438,11,1
107,39,2
305,13,3
446,99,2
478,13,3
43,22,2
173,22,3
214,17,2
335,42,3
185,27,3
246,95,3
282,95,1
300,72,1
383,73,3
241,100,1
242,48,1
291,31,2
309,49,1
349,49,2
363,100,2
154,53,2
232,52,1
427,55,3
124,87,1
222,37,1
397,6,2
456,1,2
462,79,3
16,98,2
68,38,3
229,11,1
294,9,2
120,39,1
28,61,1
50,41,2
65,71,3
237,22,1
390,101,3
36,26,2
292,29,1
368,23,2
437,28,1
26,47,3
128,32,1
296,100,2
413,100,3
449,47,3
101,36,3
183,96,1
196,54,3
325,33,2
472,54,1
22,86,1
193,6,1
235,5,1
33,66,3
60,11,1
129,9,3
